   actuatorID  xPosition   yPosition   zPosition   xForceVector    yForceVector    zForceVector
   1.0100000e+02  -3.0582000e+01   0.0000000e+00  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.0200000e+02  -5.6794000e+01   0.0000000e+00  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0300000e+02  -8.3007000e+01   0.0000000e+00  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0400000e+02  -1.0922000e+02   0.0000000e+00  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0500000e+02  -1.3543300e+02   0.0000000e+00  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0600000e+02  -1.5622100e+02   0.0000000e+00  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.0700000e+02  -1.7475000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.0800000e+02  -4.3688000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0900000e+02  -6.9901000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1000000e+02  -9.6114000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1100000e+02  -1.2232600e+02  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1200000e+02  -1.4853900e+02  -2.2701000e+01  -2.5120000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00
   1.1300000e+02   0.0000000e+00  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1400000e+02  -3.0582000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1500000e+02  -5.6794000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1600000e+02  -8.3007000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1700000e+02  -1.0922000e+02  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1800000e+02  -1.3543300e+02  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.1900000e+02  -1.5356300e+02  -3.9279000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.2000000e+02  -1.7475000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2100000e+02  -4.3688000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2200000e+02  -6.9901000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2300000e+02  -9.6113000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2400000e+02  -1.2232600e+02  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2500000e+02  -1.4663200e+02  -5.9762000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.2600000e+02   0.0000000e+00  -9.0804000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2700000e+02  -3.0582000e+01  -9.0804000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.2800000e+02  -5.6794000e+01  -9.0804000e+01  -2.5120000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00
   1.2900000e+02  -8.3007000e+01  -9.0804000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3000000e+02  -1.0922000e+02  -9.0804000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3100000e+02  -1.3338400e+02  -8.5331000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.3200000e+02  -1.7475000e+01  -1.1350500e+02  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3300000e+02  -4.3688000e+01  -1.1350500e+02  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3400000e+02  -6.9901000e+01  -1.1350500e+02  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3500000e+02  -9.6113000e+01  -1.1350500e+02  -2.5120000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00
   1.3600000e+02  -1.1572300e+02  -1.0807800e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.3700000e+02  -8.7380000e+00  -1.3620600e+02  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3800000e+02  -3.4950000e+01  -1.3620600e+02  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   1.3900000e+02  -6.1163000e+01  -1.2863900e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.4000000e+02  -8.2273000e+01  -1.3529100e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.4100000e+02  -1.4399000e+01  -1.5768700e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.4200000e+02  -4.2720000e+01  -1.5247100e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.4300000e+02  -6.3150000e+01  -1.4538500e+02  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   2.0700000e+02   1.7475000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   2.0800000e+02   4.3688000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.0900000e+02   6.9901000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1000000e+02   9.6114000e+01  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
